input_index,target_n,status,final_correctness,failure_kind,factor_expression,parser_success,raw_output_count,parsed_output_count,parse_failure_count,provider_attempt_count,retry_count,usage_total_tokens,cost_estimate,latency_ms,providers,models
0,1030189,passed,true,,1009 * 1021,true,1,1,0,1,0,607,0.0014858000000000002,4814,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
1,1034273,passed,true,,1013 * 1021,true,1,1,0,1,0,683,0.0018202000000000001,5983,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
2,1054693,passed,true,,1021 * 1033,true,1,1,0,1,0,1180,0.004007,14966,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
3,1060459,passed,true,,1009 * 1051,true,1,1,0,1,0,905,0.0027970000000000004,9913,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
4,1070969,passed,true,,1019 * 1051,true,1,1,0,1,0,975,0.003105,10929,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
5,1072567,passed,true,,1009 * 1063,true,1,1,0,1,0,815,0.0024070000000000003,8349,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
6,1078621,passed,true,,1009 * 1069,true,1,1,0,1,0,1001,0.0032194000000000003,11983,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
7,1081159,passed,true,,1019 * 1061,true,1,1,0,1,0,939,0.0029526,10202,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
8,1083197,passed,true,,1019 * 1063,true,1,1,0,1,0,954,0.0030126000000000003,11349,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
9,1085323,passed,true,,1021 * 1063,true,1,1,0,1,0,1064,0.0034966000000000003,12989,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
10,1102837,passed,true,,1009 * 1093,true,1,1,0,1,0,822,0.0024318000000000005,8532,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
11,1107209,passed,true,,1013 * 1093,true,1,1,0,1,0,747,0.0021078,6906,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
12,1107653,passed,true,,1019 * 1087,true,1,1,0,1,0,938,0.0029422000000000003,11548,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
13,1117339,passed,true,,1013 * 1103,true,1,1,0,1,0,955,0.003017,11155,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
14,1120697,passed,true,,1031 * 1087,true,1,1,0,1,0,1213,0.0041522,15230,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
15,1123417,passed,true,,1013 * 1109,true,1,1,0,1,0,840,0.002511,9080,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
16,1126883,passed,true,,1031 * 1093,true,1,1,0,1,0,1125,0.003765,14033,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
