input_index,target_n,status,final_correctness,failure_kind,factor_expression,parser_success,raw_output_count,parsed_output_count,parse_failure_count,provider_attempt_count,retry_count,usage_total_tokens,cost_estimate,latency_ms,providers,models
0,1030189,passed,true,,1009 * 1021,true,1,1,0,1,0,718,0.0019742,6636,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
1,1034273,passed,true,,1013 * 1021,true,1,1,0,1,0,625,0.001565,5264,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
2,1054693,passed,true,,1021 * 1033,true,1,1,0,1,0,1028,0.0033382000000000004,11488,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
3,1060459,passed,true,,1009 * 1051,true,1,1,0,1,0,809,0.0023746,8191,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
4,1070969,passed,true,,1019 * 1051,true,1,1,0,1,0,1049,0.0034306000000000002,12213,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
5,1072567,passed,true,,1009 * 1063,true,1,1,0,1,0,1382,0.0049018,18308,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
6,1078621,passed,true,,1009 * 1069,true,1,1,0,1,0,884,0.0027046,9282,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
7,1081159,passed,true,,1019 * 1061,true,1,1,0,1,0,958,0.0030361999999999997,10693,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
8,1083197,passed,true,,1019 * 1063,true,1,1,0,1,0,1109,0.0036946000000000006,13101,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
9,1085323,passed,true,,1021 * 1063,true,1,1,0,1,0,1081,0.0035714,12577,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
10,1102837,passed,true,,1009 * 1093,true,1,1,0,1,0,871,0.0026474000000000003,9361,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
11,1107209,passed,true,,1013 * 1093,true,1,1,0,1,0,930,0.0029130000000000002,9752,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
12,1107653,passed,true,,1019 * 1087,true,1,1,0,1,0,936,0.0029334000000000005,9714,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
13,1117339,passed,true,,1013 * 1103,true,1,1,0,1,0,949,0.0029906000000000004,10720,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
14,1120697,passed,true,,1031 * 1087,true,1,1,0,1,0,1138,0.0038222,13883,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
15,1123417,passed,true,,1013 * 1109,true,1,1,0,1,0,933,0.0029202,10464,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
16,1126883,passed,true,,1031 * 1093,true,1,1,0,1,0,1120,0.0037430000000000002,12885,"[""siliconflow""]","[""zai-org/GLM-5.2""]"
