event_type,observed_count,expected
ARTIFACT_STORED,1,true
ATTEMPT_STATE_CHANGED,10,true
CANONICAL_OUTPUTS_BOUND,2,true
DECOMPOSITION_PROPOSAL_RECORDED,1,true
EXECUTION_REQUEST_RECORDED,2,true
EXECUTION_SUBMISSION_RECORDED,2,true
EXPANSION_DECISION_RECORDED,1,true
LEASE_STATE_CHANGED,4,true
MERGE_PLAN_RECORDED,1,true
REGISTRY_SNAPSHOT_RECORDED,1,true
SPLIT_STRATEGY_INVOCATION_RECORDED,1,true
TASK_EXPANDED,1,true
TASK_REGISTERED,1,true
TASK_UNIT_CREATED,5,true
TASK_UNIT_STATE_CHANGED,2,true
VERIFICATION_RECORDED,2,true
