event_type,observed_count,expected
ARTIFACT_STORED,1,true
ATTEMPT_STATE_CHANGED,5,true
CANONICAL_OUTPUTS_BOUND,1,true
CONTRIBUTION_STATE_CHANGED,2,true
EXECUTION_REQUEST_RECORDED,1,true
EXECUTION_SUBMISSION_RECORDED,1,true
EXPANSION_DECISION_RECORDED,1,true
LEASE_STATE_CHANGED,2,true
REGISTRY_SNAPSHOT_RECORDED,1,true
SETTLEMENT_RECORDED,1,true
SPLIT_STRATEGY_INVOCATION_RECORDED,1,true
TASK_REGISTERED,1,true
TASK_UNIT_CREATED,1,true
TASK_UNIT_STATE_CHANGED,2,true
VERIFICATION_RECORDED,1,true
